Pokemon,Number,Color,Habitat,Type,Generation,Description
Azumarill,184,blue,waters-edge,Water Fairy,generation-ii,"blue waters-edge water fairy - it lives in water virtually all day long. its body color and pattern act as camouflage that makes it tough for enemies to spot in water. by keeping still and listening in­ tently, it cantell what is in even wild, fast- moving rivers. when it plays in water, it rolls up its elongated earsto prevent their insides from get­ ting wet. the bubble-like pattern on its stomach helps itcamouflage itself when it's in the water. azumarill’s long ears are indispensable sensors. by focusing its hearing, this pokémon can identify what kinds ofprey are around, even in rough and fast-running rivers. azumarill can make balloons out of air. it makes these air balloons if it spots a drowning pokémon.the air balloons enable the pokémon in trouble to breathe. when it plays in water, it rolls up its elongated ears to prevent their insides from getting wet. by keeping still and listening intently, it can even tell what is in wild, fast-moving rivers. it lives in rivers and lakes. in water, its coloring and patterns trick the vision of foes. its long ears are superb sensors. it can distinguish the movements of living things on riverbeds. it can spend all day in water, since it can inhale and store a large volume of air. by keeping still and listening intently, it can tell what is in even wild, fast-moving rivers. its long ears are superb sensors. it can distinguish the movements of things in water and tell what they are. the bubble-like pattern on its stomach helps it camouflage itself when it’s in the water. azumarill’s long ears are indispensable sensors. by focusing its hearing, this pokémon can identify what kinds of prey are around, even in rough and fast-running rivers. azumarill can make balloons out of air. it makes these air balloons if it spots a drowning pokémon. the air balloons enable the pokémon in trouble to breathe. it spends most of its time in the water. on sunny days, azumarill floats on the surface of the water and sunbathes. these pokémon create air-filled bubbles. when azurill play in rivers, azumarill will cover them with these bubbles."
Sudowoodo,185,brown,forest,Rock,generation-ii,"brown forest rock - although it always pretends to be a tree, its composi­tion appears to be closer to a rock than a plant. it disguises it­ self as a tree to avoid attack. ithates water, so it will disappear if it starts raining. if a tree branch shakes when there is no wind, it's asudowoodo, not a tree. it hides from the rain. sudowoodo camouflages itself as a tree to avoid being attacked by enemies. however, because the forelegs remaingreen throughout the year, the pokémon is easily identified as a fake during the winter. it mimics a tree to avoid being attacked by enemies. but since its forelegs remain green throughout the year, it is easily identified as a fake in the winter. it disguises itself as a tree to avoid attack. it hates water, so it will disappear if it starts raining. although it always pretends to be a tree, its composition appears to be closer to a rock than a plant. despite appearing to be a tree, its body is closer to rocks and stones. it is very weak to water. it stands along paths pretending to be a tree. if it starts raining, it seems to disappear. to avoid being attacked, it does nothing but mimic a tree. it hates water and flees from rain. although it always pretends to be a tree, its composition appears more similar to rock than to vegetation. sudowoodo camouflages itself as a tree to avoid being attacked by enemies. however, because its hands remain green throughout the year, the pokémon is easily identified as a fake during the winter. to avoid attack, it mimics a tree. it will run off if splashed with water, which it hates. apparently, the larger the green parts of this pokémon, the more collectors value it. it’s a particular favorite among elderly people. it’s so popular with the elderly that there’s a magazine devoted to this pokémon. fans obsess over the particular length and angle of its arms. the result of its holding the same pose all the time is arms that have become supple yet strong. if a tree branch shakes when there is no wind, it’s a sudowoodo, not a tree. it hides from the rain. though it pretends to be a tree, it fails to fool even children. to the touch, its body feels more like rock than tree bark. sudowoodo's extreme aversion to water merits special note."
Politoed,186,green,waters-edge,Water,generation-ii,"green waters-edge water - if poliwag and poliwhirl hear its echoing cry, theyrespond by gather­ ing from far and wide. whenever three or more of these get together, theysing in a loud voice that sounds like bellowing. when it expands its throat to croak out a tune,nearby poliwag and poliwhirl gather immediately. the curled hair on politoed’s head is proof of its status as a king. it is said that the longer and more curled thehair, the more respect this pokémon earns from its peers. the curled hair on its head proves its status as a king. it is said that the longer and curlier the hair, the more respect it earns from its peers. whenever three or more of these get together, they sing in a loud voice that sounds like bellowing. if poliwag and poliwhirl hear its echoing cry, they respond by gathering from far and wide. it gathers groups of others as their leader. its cries make poliwag obey. the curled hair on politoed’s head is proof of its status as a king. it is said that the longer and more curled the hair, the more respect this pokémon earns from its peers. they gather on moonlit nights to form a large chorus. their cries sound angry and not at all pleasant, but they are certainly distinctive. it’s the leader of poliwag and poliwhirl. when politoed roars, they all cower in fear. although its cries sound like screams, a composer created a beautiful ballad that was influenced by the sounds. the longer and more luxurious the curled hair on its head, the greater the number of poliwag and poliwhirl that will obey it. at nightfall, these pokémon appear on the shores of lakes. they announce their territorial claims by letting out cries that sound like shouting. the cry of a male is louder than that of a female. male politoed with deep, menacing voices find more popularity with the opposite gender."
Hoppip,187,pink,grassland,Grass Flying,generation-ii,"pink grassland grass flying - to keep from being blown away by the wind, they gatherin clusters. they do enjoy gentle breezes, though. its body is so light, it must grip the groundfirmly with its feet to keep from being blown away. it can be carried away on even the gentlest breeze.it may even float all the way to the next town. this pokémon drifts and floats with the wind. if it senses the approach of strong winds, hoppip links its leaveswith other hoppip to prepare against being blown away. this pokémon drifts and floats with the wind. if it senses the approach of strong winds, a hoppip links leaves with others to prepare against being blown away. its body is so light, it must grip the ground firmly with its feet to keep from being blown away. to keep from being blown away by the wind, they gather in clusters. they do enjoy gentle breezes, though. it drifts on winds. it is said that when hoppip gather in fields and mountains, spring is on the way. to keep from being blown away by the wind, they gather in clusters. but they do enjoy gentle breezes. this pokémon drifts and floats with the wind. if it senses the approach of strong winds, hoppip links its leaves with other hoppip to prepare against being blown away."
Skiploom,188,green,grassland,Grass Flying,generation-ii,"green grassland grass flying - the bloom on top of its head opens and closes as thetemperature fluc­ tuates up and down. it spreads its petals to absorb sunlight. it alsofloats in the air to get closer to the sun. as soon as it rains, it closes its flower andhides in the shade of a tree to avoid getting wet. skiploom’s flower blossoms when the temperature rises above 64 degrees f. how much the flower opens depends onthe temperature. for that reason, this pokémon is sometimes used as a thermometer. it blossoms when the temperature rises above 64 degrees f. because its flower’s blooming changes with the temperature, it is sometimes used as a thermometer. it spreads its petals to absorb sunlight. it also floats in the air to get closer to the sun. the bloom on top of its head opens and closes as the temperature fluctuates up and down. it blooms when the weather warms. it floats in the sky to soak up as much sunlight as possible. skiploom’s flower blossoms when the temperature rises above 64 degrees fahrenheit. how much the flower opens depends on the temperature. for that reason, this pokémon is sometimes used as a thermometer."
Jumpluff,189,blue,grassland,Grass Flying,generation-ii,"blue grassland grass flying - once it catches the wind, it deft­ ly controls itscotton-puff spores to float, even around the world. drifts on seasonal winds and spreads its cotton-likespores all over the world to make more offspring. even in the fierc­ est wind, it can control its fluffto make its way to any place in the world it wants. jumpluff rides warm southern winds to cross the sea and fly to foreign lands. the pokémon descends to the groundwhen it encounters cold air while it is floating. jumpluff ride warm southern winds to cross the sea and fly to foreign lands. this pokémon lands when it encounters cold air while it is floating. it drifts on seasonal winds and spreads its cotton-like spores all over the world  to make more offspring. once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world. blown by seasonal winds, it circles the globe, scattering cotton spores as it goes. once it catches the wind, it deftly controls its cotton-puff spores-- it can even float around the world. drifts on seasonal winds and spreads its cotton-like spores all over the world to make more offspring. even in the fiercest wind, it can control its fluff to make its way to any place in the world it wants. jumpluff rides warm southern winds to cross the sea and fly to foreign lands. the pokémon descends to the ground when it encounters cold air while it is floating."
Aipom,190,purple,forest,Normal,generation-ii,"purple forest normal - its tail is so powerful that it can use it to graba tree branch and hold itself up in the air. it lives atop tall trees. when leap­ ing from branchto branch, it deftly uses its tail for balance. it uses its tail to hang on to tree branches. it usesits momentum to swing from one branch to another. aipom’s tail ends in a hand-like appendage that can be cleverly manipulated.however, because the pokémon uses its tail so much, its real hands have become rather clumsy. its tail ends with a dexterous, handlike appendage. however, because it uses the tail so much, aipom’s real hands have become rather clumsy. it lives atop tall trees. when leaping from branch to branch, it deftly uses its tail for balance. its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air. it uses its tail to pluck fruits that are out of reach. its tail is more adept than its real hands. it lives atop giant trees. it wraps its tail around a branch so it won’t fall off while asleep. it lives high among the treetops. it can use its tail as freely and cleverly as its hands. aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. however, because the pokémon uses its tail so much, its real hands have become rather clumsy. as it did more and more with its tail, its hands became clumsy. it makes its nest high in the treetops. it searches for prey from the tops of trees. when it spots its favorite food, bounsweet, aipom gets excited and pounces. this treetop dweller possesses a tail as dexterous as a hand. ancient writings describe this pokémon as a one-armed oddity."
Sunkern,191,yellow,grassland,Grass,generation-ii,"yellow grassland grass - it may drop out of the sky suddenly. if attacked by aspearow, it will violently shake its leaves. it lives by drink­ ing only dewdrops from under theleaves of plants. it is said that it eats nothing else. it is very weak. its only means of defense is toshake its leaves desperately at its attacker. sunkern tries to move as little as it possibly can. it does so because it tries to conserve all the nutrients ithas stored in its body for its evolution. it will not eat a thing,  subsisting only on morning dew. sunkern try to minimize movement to conserve the nutrients they have stored in their bodies for evolution. they will not eat, subsisting only on morning dew. it lives by drinking only dewdrops from under the leaves of plants. it is said that it eats nothing else. it may drop out of the sky suddenly. if attacked by a spearow, it will violently shake its leaves. it suddenly falls out of the sky in the morning. a year after a cold summer, their population explodes. it may plummet from the sky. if attacked by a spearow, it will violently shake its leaves. it suddenly falls out of the sky in the morning. knowing it’s weak, it simply feeds until it evolves. sunkern tries to move as little as it possibly can. it does so because it tries to conserve all the nutrients it has stored in its body for its evolution. it will not eat a thing, subsisting only on morning dew."
Sunflora,192,yellow,grassland,Grass,generation-ii,"yellow grassland grass - it converts sun­ light into energy. in the darknessafter sunset, it closes its petals and becomes still. in the daytime, it rushes about in a hectic manner, butit comes to a com­ plete stop when the sun sets. as the hot season approaches, the petals on thispokémon's face become more vivid and lively. sunflora converts solar energy into nutrition. it moves around actively in the daytime when it is warm.it stops moving as soon as the sun goes down for the night. sunflora convert solar energy into nutrition. they are highly active in the warm daytime but suddenly stop moving as soon as the sun sets. in the daytime, it rushes about in a hectic manner, but it comes to a complete stop when the sun sets. it converts sunlight into energy. in the darkness after sunset, it closes its petals and becomes still. it gets energy from warm sunlight and is known for its habit of moving in pursuit of it. since it converts sunlight into energy, it is always looking in the direction of the sun. as the hot season approaches, the petals on this pokémon’s face become more vivid and lively. sunflora converts solar energy into nutrition. it moves around actively in the daytime when it is warm. it stops moving as soon as the sun goes down for the night."
Yanma,193,red,forest,Bug Flying,generation-ii,"red forest bug flying - if it flaps its wings really fast, it can generateshock waves that will shatter win­ dows in the area. its large eyes can scan 360 degrees. it looks in alldirections to seek out insects as its prey. it can see in all directions without moving its bigeyes, helping it spot attackers and food right away. yanma is capable of seeing 360 degrees without having to move its eyes. it is a great flier that is adept atmaking sudden stops and turning midair. this pokémon uses its flying ability to quickly chase down targeted prey. it can see 360 degrees without moving its eyes. it is a great flier capable of making sudden stops and turning midair to quickly chase down targeted prey. its large eyes can scan 360 degrees. it looks in all directions to seek out insects as its prey. if it flaps its wings really fast, it can generate shock waves that will shatter windows in the area. its eyes can see 360 degrees without moving its head. it won’t miss prey--even those behind it. it can hover in one spot by flapping its wings at high speed. it flits about to guard its territory. by flapping its wings at high speed, it can fly freely through the air. even sudden stops are no problem. yanma is capable of seeing 360 degrees without having to move its eyes. it is a great flier that is adept at making sudden stops and turning midair. this pokémon uses its flying ability to quickly chase down targeted prey. its frail wings are so thin that one can see clear through them. however, during flight these wings exhibit the power to churn air with force enough to launch a house skyward."
Wooper,194,blue,waters-edge,Water Ground,generation-ii,"blue waters-edge water ground - this pokémon lives in cold water. it will leave thewater to search for food when it gets cold outside. when it walks a­ round on the ground, it coatsits body with a slimy, poisonous film. a mucous membrane covers its body. touchingit barehanded will cause a shooting pain. wooper usually lives in water. however, it occasionally comes out onto land in search of food.on land, it coats its body with a gooey, toxic film. wooper usually live in water but come out onto land seeking food occasionally. on land, they coat their bodies with a gooey, toxic film. when it walks around on the ground, it coats its body with a slimy, poisonous film. this pokémon lives in cold water. it will leave the water to search for food when it gets cold outside. it lives in cold water, half burying itself in mud at the bottom to sleep. when the temperature cools in the evening, they emerge from water to seek food along the shore. when walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating. wooper usually lives in water. however, it occasionally comes out onto land in search of food. on land, it coats its body with a gooey, toxic film."
Quagsire,195,blue,waters-edge,Water Ground,generation-ii,"blue waters-edge water ground - this carefree pokémon has an easy-going nature.while swimming, it always bumps into boat hulls. due to its relaxed and carefree atti­ tude, it oftenbumps its head on boulders and boat hulls as it swims. its body is always slimy. it often bangs its head onthe river bottom as it swims but seems not to care. quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware.because the pokémon does not move, it does not get very hungry. a quagsire hunts by leaving its mouth wide open in water and waiting for its prey to blunder in. because it doesn’t move, it does not get very hungry. due to its relaxed and carefree attitude, it often bumps its head on boulders and boat hulls as it swims. this carefree pokémon has an easygoing nature. while swimming, it always bumps into boat hulls. it has a sluggish nature. it lies at the river’s bottom, waiting for prey to stray into its mouth. a dim-witted pokémon. it doesn’t care if it bumps its head into boats or rocks while swimming. it has an easygoing nature. it doesn’t care if it bumps its head on boats and boulders while swimming. this carefree pokémon has an easy-going nature. while swimming, it always bumps into boat hulls. quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. because the pokémon does not move, it does not get very hungry. its body is always slimy. it often bangs its head on the river bottom as it swims but seems not to care."
Espeon,196,purple,urban,Psychic,generation-ii,"purple urban psychic - it uses the fine hair that covers its body to senseair currents and predict its ene­ my's actions. by reading air currents, it can predict thingssuch as the weath­ er or its foe's next move. the tip of its forked tail quivers when it ispredicting its opponent's next move. espeon is extremely loyal to any trainer it considers to be worthy. it is said that this pokémon developedits precognitive powers to protect its trainer from harm. an espeon is extremely loyal to any trainer it considers to be worthy. it is said to have developed precognitive powers to protect its trainer from harm. by reading air currents, it can predict things such as the weather or its foe’s next move. it uses the fine hair that covers its body to sense air currents and predict its enemy’s actions. its fur has the look and feel of velvet. the orb on its forehead glows when it uses psycho-power. its fur is so sensitive, it can sense minute shifts in the air and predict the weather. its fur is so sensitive, it can feel minute shifts in the air and predict the weather...and its foes’ thoughts. the tip of its forked tail quivers when it is predicting its opponent’s next move. espeon is extremely loyal to any trainer it considers to be worthy. it is said that this pokémon developed its precognitive powers to protect its trainer from harm. it can instantaneously sense its opponent’s movements by feeling air currents with its fine fur. it unleashes psychic power from the orb on its forehead. when its power is exhausted, the orb grows dull and dark. although it originally had no powers at all, people say its precognitive faculties were awakened by its need to protect itself. psychic power builds up in the orb on its forehead as it bathes in the sunshine. espeon is not good at battling at night. wields an arcane power with which it can predict the weather and even people's thoughts. when bathed in sunshine, the scarlet orb on its brow glows and builds energy."
Umbreon,197,black,urban,Dark,generation-ii,"black urban dark - when agitated, this pokémon pro­ tects itself byspraying poisonous sweat from its pores. when darkness falls, the rings on the body beginto glow, striking fear in the hearts of anyone nearby. on the night of a full moon, or when it gets excited,the ring patterns on its body glow yellow. umbreon evolved as a result of exposure to the moon’s waves. it hides silently in darkness and waitsfor its foes to make a move. the rings on its body glow when it leaps to attack. umbreon evolved from exposure to the moon’s energy pulses. it lurks in darkness and waits for its foes to move. the rings on its body glow when it leaps to attack. when darkness falls, the rings on its body begin to glow, striking fear in the hearts of anyone nearby. when agitated, this pokémon protects itself by spraying poisonous sweat from its pores. the light of the moon changed eevee’s genetic structure. it lurks in darkness for prey. when exposed to the moon’s aura, the rings on its body glow faintly and it gains a mysterious power. when darkness falls, the rings on the body begin to glow, striking fear in the hearts of anyone nearby. when exposed to the moon’s aura, the rings on its body glow faintly and it’s filled with a mysterious power. umbreon evolved as a result of exposure to the moon’s waves. it hides silently in darkness and waits for its foes to make a move. the rings on its body glow when it leaps to attack. when this pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes. with its black fur, it blends into the darkness. it bides its time, and when prey appears, this pokémon goes for its throat, and then eats it. this pokémon is nocturnal. even in total darkness, its large eyes can spot its prey clearly! it lurks in the dark of night looking for prey. at the moment it pounces, the rings on its body glow dimly but ominously. on the night of a full moon, or when it gets excited, the ring patterns on its body glow yellow. it is most active in the wee hours of the night, when moonlight bathes the land. its large eyes can pierce the darkness and perceive prey with absolute clarity."
Murkrow,198,black,forest,Dark Flying,generation-ii,"black forest dark flying - feared and loathed by many, it is believed to bringmisfortune to all those who see it at night. it is said that when chased, it lures its attackeronto dark mountain trails where the foe will get lost. it hides any shiny object it finds in a secret location.murkrow and meowth loot one another's stashes. murkrow was feared and loathed as the alleged bearer of ill fortune. this pokémon shows strong interest inanything that sparkles or glitters. it will even try to steal rings from women. murkrow were feared as the alleged bearers of ill fortune. it shows strong interest in anything that sparkles. it will even try to steal rings from women. it is said that when chased, it lures its attacker onto dark mountain trails where the foe will get lost. feared and loathed by many, it is believed to bring misfortune to all those who see it at night. it is believed that seeing this pokémon at night will bring about ominous occurrences. it appears near travelers to lure them into deep forests. it is said to carry misfortune. if spotted, it will lure an unwary person into chasing it, then lose the pursuer on mountain trails. if spotted, it will lure an unwary person into chasing it then lose the pursuer on mountain trails. it hides any shiny object it finds in a secret location. murkrow and meowth loot one another’s stashes. murkrow was feared and loathed as the alleged bearer of ill fortune. this pokémon shows strong interest in anything that sparkles or glitters. it will even try to steal rings from women. they awaken at dusk and take wing in the twilight, leading to the expression, “get home before the murkrow fly.” seen as a symbol of bad luck, it’s generally disliked. yet it gives presents—objects that sparkle or shine—to trainers it’s close to. it has a weakness for shiny things. it’s been known to sneak into the nests of gabite—noted collectors of jewels—in search of treasure. it searches for shiny things for its boss. murkrow’s presence is said to be unlucky, so many people detest it. widely shunned as a bearer of ill fortune. upon crossing paths with this creature, i've been told one must chant ”workrum, workrum—bad luck, don't come” as a protective incantation."
Slowking,199,pink,waters-edge,Water Psychic,generation-ii,"pink waters-edge water psychic - it has incredible intellect and in­ tuition. whateverthe situation, it remains calm and collected. when its head was bitten, toxins entered slowpoke'shead and unlocked an extraordinary power. every time it ya­ wns, shellder injects more poi­son into it. the poison makes it more intelligent. slowking undertakes research every day in an effort to solve the mysteries of the world.however, this pokémon apparently forgets everything it has learned if the shellder on its head comes off. it undertakes research every day to solve the mysteries of the world. however, it apparently forgets everything if the shellder on its head comes off. when its head was bitten, toxins entered slowpoke’s head and unlocked an extraordinary power. it has incredible intellect and intuition. whatever the situation, it remains calm and collected. being bitten by shellder gave it intelligence comparable to that of award-winning scientists. slowking undertakes research every day in an effort to solve the mysteries of the world. however, this pokémon apparently forgets everything it has learned if the shellder on its head comes off. a poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. it has full control of its psychic powers. this pokémon is so famed for its intellect that a proverb still persists in some regions: “when in doubt, ask slowking.” it’s constantly coming up with new ideas that would change the world, but as soon as it hits upon a new idea, it forgets it. it’s called “the sage of the sea.” it engages in battles of wits with oranguru, but the result is usually a draw. miraculously, this former slowpoke’s latent intelligence was drawn out when shellder poison raced through its brain. slowking can solve any problem presented to it, but no one can understand a thing slowking says."
Misdreavus,200,gray,cave,Ghost,generation-ii,"gray cave ghost - it likes playing mischievous tricks such as screamingand wailing to startle people at night. it loves to bite and yank people's hair from behindwithout warning, just to see their shocked reactions. it loves to watch people it's scar­ ed. it frightensthem by screaming loudly or appear­ ing suddenly. misdreavus frightens people with a creepy, sobbing cry. the pokémon apparently uses its red spheres toabsorb the fearful feelings of foes and turn them into nutrition. a misdreavus frightens people with a creepy, sobbing cry. it apparently uses its red spheres to absorb the fear of foes as its nutrition. it loves to bite and yank people’s hair from behind without warning, just to see their shocked reactions. it likes playing mischievous tricks such as screaming and wailing to startle people at night. it loves to sneak up on people late at night, then startle them with its shrieklike cry. it gets nourishment from fear that it absorbs into its red orbs. in daytime, it sleeps in darkness. a pokémon that startles people in the middle of the night. it gathers fear as its energy. it likes playing mischievous tricks, such as screaming and wailing to startle people at night. misdreavus frightens people with a creepy, sobbing cry. the pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition. it will use any means necessary to frighten people and absorb their life energy. it practices constantly to hone its skill in causing fear. if you hear a sobbing sound emanating from a vacant room, it’s undoubtedly a bit of mischief from misdreavus. what gives meaning to its life is surprising others. if you set your ear against the red orbs around its neck, you can hear shrieking. what makes it happy is imitating the voices of weeping people and scaring everyone. it doesn’t deal well with folks who aren’t easily frightened. it conceals itself in darkness, sending chills up travelers' spines with its childlike weeping. as it observes the frightened travelers with glee, the red orbs upon its chest let off an eerie light."
Unown,201,black,rare,Psychic,generation-ii,"black rare psychic - their shapes look like hieroglyphs on ancient tab­lets. it is said that the two are somehow related. its flat, thin body is always stuck on walls.its shape appears to have some mean­ ing. because different types of unown exist, it is saidthat they must have a variety of abilities. this pokémon is shaped like ancient writing. it is a mystery as to which came first, the ancient writings or thevarious unown. research into this topic is ongoing but nothing is known. this pokémon is shaped like ancient text characters. although research is ongoing, it is a mystery as to which came first, the ancient writings or the various unown. its flat, thin body is always stuck on walls. its shape appears to have some meaning. their shapes look like hieroglyphs on ancient tablets. it is said that the two are somehow related. shaped like ancient writing, it is a huge mystery whether language or unown came first. they seem to communicate among each other telepathically. they are always found stuck on walls. when alone, nothing happens. however, if there are two or more, an odd power is said to emerge. this pokémon is shaped like ancient writing. it is a mystery as to which came first, the ancient writings or the various unown. research into this topic is ongoing but nothing is known. it is hard to believe these strangely shaped pokémon are truly living creatures. i've pointed out that the species' many forms resemble writing from other lands; no one will take me seriously."
Wobbuffet,202,blue,cave,Psychic,generation-ii,"blue cave psychic - it hates light and shock. if attack­ ed, it inflatesits body to pump up its counter­ strike. to keep its pitch- black tail hidden, it lives quietlyin the darkness. it is never first to attack. in order to con­ ceal its black tail, it lives ina dark cave and only moves about at night. if two or more wobbuffet meet, they will turn competitive and try to outdo each other’s endurance.however, they may try to see which one can endure the longest without food. trainers need to beware of this habit. wobbuffet does nothing but endure attacks - it won’t attack on its own. however, it won’t endure an attack onits tail. when that happens, the pokémon will try to take the foe with it using destiny bond. usually docile, a wobbuffet strikes back ferociously if its black tail is attacked. it makes its lair in caves where it waits for nightfall. to keep its pitch-black tail hidden, it lives quietly in the darkness. it is never first to attack. it hates light and shock. if attacked, it inflates its body to pump up its counterstrike. it desperately tries to keep its black tail hidden. it is said to be proof the tail hides a secret. it hates light and shock. if attacked, it inflates its body to build up its counterstrike. if two or more wobbuffet meet, they will turn competitive and try to outdo each other’s endurance. however, they may try to see which one can endure the longest without food. trainers need to beware of this habit. wobbuffet does nothing but endure attacks—it won’t attack on its own. however, it won’t endure an attack on its tail. when that happens, the pokémon will try to take the foe with it using destiny bond."
Girafarig,203,yellow,grassland,Normal Psychic,generation-ii,"yellow grassland normal psychic - its tail has a small brain of its own. beware! ifyou get close, it may react to your scent and bite. its tail, which also contains a small brain, maybite on its own if it notices an alluring smell. when it is in danger, its tail uses some sort ofmysterious powers to drive away the enemy. girafarig’s rear head also has a brain, but it is small. the rear head attacks in response to smells and sounds.approaching this pokémon from behind can cause the rear head to suddenly lash out and bite. girafarig’s rear head contains a tiny brain that is too small for thinking. however, the rear head doesn’t need tosleep, so it can keep watch over its surroundings 24 hours a day. a girafarig is an herbivore--it eats grass and tree shoots. while it is eating, its tail makes chewing and swallowing motions as if it were also eating. its tail, which also contains a small brain, may bite on its own if it notices an alluring smell. its tail has a small brain of its own. beware! if you get close, it may react to your scent and bite. its tail also has a small brain. it bites to repel any foe trying to sneak up on it from behind. while it sleeps, the head on its tail keeps watch. the tail doesn’t need to sleep. the head on its tail contains a small brain. it can instinctively fight even while facing backward. its tail has a small brain of its own. beware! if you get close, it may react to your scent by biting. girafarig’s rear head also has a brain, but it is small. the rear head attacks in response to smells and sounds. approaching this pokémon from behind can cause the rear head to suddenly lash out and bite. girafarig’s rear head contains a tiny brain that is too small for thinking. however, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day."
Pineco,204,gray,forest,Bug,generation-ii,"gray forest bug - it likes to make its shell thicker by adding layersof tree bark. the additional weight doesn't bother it. it hangs and waits for flying insect prey to come near.it does not move about much on its own. it spits out a fluid that it uses to glue tree barkto its body. the fluid hardens when it touches air. pineco hangs from a tree branch and patiently waits for prey to come along. if the pokémon is disturbed whileeating by someone shaking its tree, it drops down to the ground and explodes with no warning. a pineco hangs from a tree branch and waits for prey. while eating, if it is disturbed by someone shaking its tree, it falls on the ground and suddenly explodes. it hangs and waits for flying-insect prey to come near. it does not move about much on its own. it likes to make its shell thicker by adding layers of tree bark. the extra weight doesn’t bother it. it looks just like a pinecone. its shell protects it from bird pokémon that peck it by mistake. it likes to make its shell thicker by adding layers of tree bark. the additional weight doesn’t bother it. it hangs and waits for flying insect prey to come near. it does not move about much on its own. pineco hangs from a tree branch and patiently waits for prey to come along. if the pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning. motionless, it hangs from trees, waiting for its bug pokémon prey to come to it. its favorite in alola is cutiefly. it sticks tree bark to itself with its saliva, making itself thicker and larger. elderly pineco are ridiculously huge."
Forretress,205,purple,forest,Bug Steel,generation-ii,"purple forest bug steel - its entire body is shielded by a steel-hard shell.what lurks inside the armor is a total mystery. it remains immova­ bly rooted to its tree. it scatterspieces of its hard shell to drive its enemies away. usually found hanging on to a fat tree trunk. itshoots out bits of its shell when it sees action. forretress conceals itself inside its hardened steel shell. the shell is opened when the pokémon is catching prey,but it does so at such a quick pace that the shell’s inside cannot be seen. it keeps itself inside its steel shell. the shell is opened when it is catching prey, but it is so quick that the shell’s inside cannot be seen. it remains immovably rooted to its tree. it scatters pieces of its hard shell to drive its enemies away. its entire body is shielded by a steel- hard shell. what lurks inside the armor is a total mystery. it is encased in a steel shell. its peering eyes are all that can be seen of its mysterious innards. its entire body is shielded by a steel-hard shell. what lurks inside this shell is a total mystery. forretress conceals itself inside its hardened steel shell. the shell is opened when the pokémon is catching prey, but it does so at such a quick pace that the shell’s inside cannot be seen. when something approaches it, it fires off fragments of its steel shell in attack. this is not a conscious action but a conditioned reflex. in the moment that it gulps down its prey, the inside of its shell is exposed, but to this day, no one has ever seen that sight."
Dunsparce,206,yellow,cave,Normal,generation-ii,"yellow cave normal - when spotted, this pokémon escapes backward by furi­ously boring into the ground with its tail. if spotted, it es­ capes by burrowing with its tail.it can float just slightly using its wings. it hides deep inside caves where no light everreaches it and remains virtually motionless there. dunsparce has a drill for its tail. it uses this tail to burrow into the ground backwards.this pokémon is known to make its nest in complex shapes deep under the ground. its drill-tipped tail is used to burrow into the ground backwards. this pokémon is known to make its nest in complex shapes deep under the ground. if spotted, it escapes by burrowing with its tail. it can hover just slightly using its wings. when spotted, this pokémon escapes backward by furiously boring into the ground with its tail. it digs into the ground with its tail and makes a mazelike nest. it can fly just a little. if spotted, it escapes by burrowing with its tail. it can float just slightly using its wings. it creates mazes in dark locations. when spotted, it flees into the ground by digging with its tail. dunsparce has a drill for its tail. it uses this tail to burrow into the ground backward. this pokémon is known to make its nest in complex shapes deep under the ground. it travels by digging through the ground. diglett and dunsparce share one another’s tunnels happily. when it sees a person, it digs a hole with its tail to make its escape. if you happen to find one, consider yourself lucky. this pokémon’s tiny wings have some scientists saying that dunsparce used to fly through the sky in ancient times. the nests dunsparce live in are mazes of tunnels. they never get lost in their own nests—they can tell where they are by the scent of the dirt."
